,0,1,2,3,4
COMPLAINTS_POLICE_SHOOTING,0.9285714285714286,0.4148936170212766,14.0,0.6666666666666666,0.25
COMPLAINTS_TOTAL,51.5,27.904255319148938,30.0,47.0,11.461538461538462
CRIME_TOTAL,6147.142857142857,4595.127659574468,3544.0,7073.833333333333,2726.141025641026
CRIME_ARREST,1929.4285714285713,996.5,508.0,2917.0,422.89102564102564
CRIME_DOMESTIC,1307.0,875.0425531914893,534.0,1225.8333333333333,363.7692307692308
ISR_TOTAL_STOPS,4053.0,2287.978723404255,468.0,5441.166666666667,935.8012820512821
ISR_SEARCH,873.7142857142857,416.5851063829787,51.0,1378.0,142.26923076923077
ISR_ARREST,650.0,287.01063829787233,40.0,1207.6666666666667,102.47435897435898
UOF_TOTAL_COUNT,207.28571428571428,100.41489361702128,54.0,259.1666666666667,37.8974358974359
UOF_POLICE_W_WEAPON,14.0,9.095744680851064,4.0,20.0,2.9743589743589745
UOF_POLICE_WO_WEAPON,67.35714285714286,31.56382978723404,12.0,85.66666666666667,10.628205128205128
